,Title,Publication type,Link to publication,Abstract,Zotero link,Date published,FirstName2,Publisher,Journal,Date added,Col key
15,"Unconcern at dawn, surprise at sunset: Egyptian intelligence appreciation before the Sinai campaign, 1956",Journal article,https://doi.org/10.1080/02684529008432062,,https://www.zotero.org/groups/intelligence_bibliography/items/L5KSRD4Q,1990-07-01,Yigal Sheffy,,Intelligence and National Security,2024-01-27T09:16:42Z,['6XBG92FJ']
16,Intelligence and strategy: Some observations on the war in the Mediterranean 1941–45,Journal article,https://doi.org/10.1080/02684529008432058,,https://www.zotero.org/groups/intelligence_bibliography/items/Z64ZUUCQ,1990-04-01,Ralph Bennett,,Intelligence and National Security,2024-01-27T09:16:15Z,['SCCGXHMZ']
17,"A comparative analysis of RAF and Luftwaffe intelligence in the battle of Britain, 1940",Journal article,https://doi.org/10.1080/02684529008432057,,https://www.zotero.org/groups/intelligence_bibliography/items/F42W5CL5,1990-04-01,Sebastian Cox,,Intelligence and National Security,2024-01-27T09:15:35Z,"['PBHFUE8W', 'SCCGXHMZ', 'AZ3BZ9BR']"
18,German air intelligence in the second world war,Journal article,https://doi.org/10.1080/02684529008432056,,https://www.zotero.org/groups/intelligence_bibliography/items/6868TAJT,1990-04-01,Horst Boog,,Intelligence and National Security,2024-01-27T09:15:10Z,"['PBHFUE8W', 'CZJ36V8L', 'SCCGXHMZ']"
19,"Ultra intelligence and general Douglas MacArthur's leap to Hollandia, January‐April 1944",Journal article,https://doi.org/10.1080/02684529008432055,,https://www.zotero.org/groups/intelligence_bibliography/items/Q4DJNXKY,1990-04-01,Edward J. Drea,,Intelligence and National Security,2024-01-27T09:14:39Z,"['T92JK7A5', 'SCCGXHMZ']"
20,Turkey,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/G4IKQVXS,2020-01-01,I. Yilmaz,Lynne Rienner Publishers,,2024-01-25T00:06:08Z,['AZ3BZ9BR']
21,Tajikistan,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/32ZSSADQ,2020-01-01,A. Matveeva,Lynne Rienner Publishers,,2024-01-25T00:05:51Z,['AZ3BZ9BR']
22,Taiwan,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/ELNFXGMF,2020-01-01,F. Rosenke J.,Lynne Rienner Publishers,,2024-01-25T00:05:32Z,['AZ3BZ9BR']
23,Syria,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/4A8YU8NS,2020-01-01,F. Peil,Lynne Rienner Publishers,,2024-01-25T00:05:18Z,['AZ3BZ9BR']
24,Saudi Arabia,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/PPE8JNTB,2020-01-01,C. M. Davidson,Lynne Rienner Publishers,,2024-01-25T00:04:06Z,['AZ3BZ9BR']
25,Palestine,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/Z3MAQ4VL,2020-01-01,A. Tartir,Lynne Rienner Publishers,,2024-01-25T00:02:56Z,['AZ3BZ9BR']
26,Pakistan,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/SC53HGJS,2020-01-01,K. Mukherjee,Lynne Rienner Publishers,,2024-01-25T00:02:33Z,['AZ3BZ9BR']
27,Myanmar,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/J6INZ9X7,2020-01-01,Andrew Selth,Lynne Rienner Publishers,,2024-01-25T00:02:02Z,['AZ3BZ9BR']
28,Sri Lanka,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/KC7PZVJ9,2020-01-01,V. K. Shashikumar,Lynne Rienner Publishers,,2024-01-25T00:04:43Z,['AZ3BZ9BR']
29,South Korea,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/DJ7U6FSJ,2020-01-01,D. A. Neuhaus,Lynne Rienner Publishers,,2024-01-25T00:04:26Z,['AZ3BZ9BR']
30,Russia,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/NDZSEMQ9,2020-01-01,A. Kozovoï,Lynne Rienner Publishers,,2024-01-25T00:03:50Z,['AZ3BZ9BR']
31,North Korea,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/5488XPYG,2020-01-01,S. Blancke,Lynne Rienner Publishers,,2024-01-25T00:02:16Z,['AZ3BZ9BR']
32,Kazakhstan,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/86MAGT3K,2020-01-01,Filip Kovacevic,Lynne Rienner Publishers,,2024-01-25T00:01:47Z,['AZ3BZ9BR']
33,Japan,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/I2LJRZQM,2020-01-01,Yoshiki Kobayashi,Lynne Rienner Publishers,,2024-01-25T00:01:13Z,['AZ3BZ9BR']
34,Iraq,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/AFBQ2JGQ,2020-01-01,Ibrahim Al-Marashi,Lynne Rienner Publishers,,2024-01-25T00:00:42Z,['AZ3BZ9BR']
35,Iran,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/MXLSM8L8,2020-01-01,Carl Anthony Wege,Lynne Rienner Publishers,,2024-01-25T00:00:26Z,['AZ3BZ9BR']
36,China,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/MXMYLRIV,2020-01-01,X. Guo,Lynne Rienner Publishers,,2024-01-24T23:58:47Z,['AZ3BZ9BR']
37,Bangladesh,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/VC9FX3V7,2020-01-01,A. S. M. Ali Ashraf,Lynne Rienner Publishers,,2024-01-24T23:58:21Z,['AZ3BZ9BR']
38,Afghanistan,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/Y3WIEAI2,2020-01-01,D. Patang,Lynne Rienner Publishers,,2024-01-24T23:56:20Z,['AZ3BZ9BR']
39,Jordan,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/FV2J6R9V,2020-01-01,H. Al Jbour,Lynne Rienner Publishers,,2024-01-25T00:01:27Z,['AZ3BZ9BR']
40,Israel,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/ISC5NSUJ,2020-01-01,Ephraim Kahana,Lynne Rienner Publishers,,2024-01-25T00:00:57Z,['AZ3BZ9BR']
41,India,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/MKJI3QT7,2020-01-01,Prem Mahadevan,Lynne Rienner Publishers,,2024-01-24T23:59:56Z,['AZ3BZ9BR']
42,Intelligence Communities and Cultures in Asia and the Middle East: A Comprehensive Reference,Book,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/I2WS2HPD,2020,Bob de Graaff,Lynne Rienner Publishers,,2022-12-06T16:17:39Z,"['HCN8YFI8', 'CK5MNYPQ', 'AZ3BZ9BR', 'NWAKWPT7']"
43,Yemen,Book chapter,https://www.rienner.com/title/Intelligence_Communities_and_Cultures_in_Asia_and_the_Middle_East_A_Comprehensive_Reference,,https://www.zotero.org/groups/intelligence_bibliography/items/9TQ9YQLN,2020-01-01,A. Chimente,Lynne Rienner Publishers,,2024-01-25T00:06:24Z,['AZ3BZ9BR']
44,Convoy PQ 17: A study of intelligence and decision‐making,Journal article,https://doi.org/10.1080/02684529008432054,,https://www.zotero.org/groups/intelligence_bibliography/items/5HZVIVZC,1990-04-01,Patrick Beesly,,Intelligence and National Security,2024-01-26T23:36:57Z,['SCCGXHMZ']
45,"The British army, signals and security in the desert campaign, 1940–42",Journal article,https://doi.org/10.1080/02684529008432053,,https://www.zotero.org/groups/intelligence_bibliography/items/BPTVVNK7,1990-04-01,John Ferris,,Intelligence and National Security,2024-01-26T23:36:39Z,['SCCGXHMZ']
46,"Flawed perception and its effect upon operational thinking: The case of the Japanese army, 1937–41",Journal article,https://doi.org/10.1080/02684529008432052,,https://www.zotero.org/groups/intelligence_bibliography/items/F3HMRRBZ,1990-04-01,Alvin D. Coox,,Intelligence and National Security,2024-01-26T23:36:21Z,['SCCGXHMZ']
47,Institutionalized deception and perception reinforcment: Allenby's campaigns in Palestine,Journal article,https://doi.org/10.1080/02684529008432051,,https://www.zotero.org/groups/intelligence_bibliography/items/UY5S2H2U,1990-04-01,Yigal Sheffy,,Intelligence and National Security,2024-01-26T23:35:55Z,"['BNPYHVD4', 'RHJFPRAI']"
48,Lee at Gettysburg: A general without intelligence,Journal article,https://doi.org/10.1080/02684529008432049,,https://www.zotero.org/groups/intelligence_bibliography/items/C7FL7PBJ,1990-04-01,Jay Luvaas,,Intelligence and National Security,2024-01-26T23:35:26Z,['9DTPTK46']
49,"The role of intelligence in the chancellorsville campaign, April‐May, 1863",Journal article,https://doi.org/10.1080/02684529008432048,,https://www.zotero.org/groups/intelligence_bibliography/items/CN6I98U8,1990-04-01,Jay Luvaas,,Intelligence and National Security,2024-01-26T23:35:00Z,['9DTPTK46']
50,"All the commissioner's men: The federal bureau of narcotics and the Dewey‐Luciano affair, 1947–54",Journal article,https://doi.org/10.1080/02684529008432040,,https://www.zotero.org/groups/intelligence_bibliography/items/KHHVFDDU,1990-01-01,"John C. McWilliams, Alan A. Block",,Intelligence and National Security,2024-01-26T23:34:18Z,['CZT6L9T7']
51,"Something very stern: British political intelligence, Moralism and grand strategy in 1939",Journal article,https://doi.org/10.1080/02684529008432039,,https://www.zotero.org/groups/intelligence_bibliography/items/DDK2X25P,1990-01-01,Wesley K. Wark,,Intelligence and National Security,2024-01-26T23:33:57Z,['SCCGXHMZ']
52,"'Only half the battle’: American intelligence and the Chinese intervention in Korea, 1950",Journal article,https://doi.org/10.1080/02684529008432038,,https://www.zotero.org/groups/intelligence_bibliography/items/DDKJYTE6,1990-01-01,Eliot A. Cohen,,Intelligence and National Security,2024-01-26T23:33:40Z,['CZT6L9T7']
53,Intelligence and policy,Journal article,https://doi.org/10.1080/02684529008432037,,https://www.zotero.org/groups/intelligence_bibliography/items/5Y7PWEH4,1990-01-01,Reginald Hibbert,,Intelligence and National Security,2024-01-26T23:33:26Z,['B4CCZ7Y8']
54,"The role of intelligence in coastal command's anti‐shipping campaign, 1940–45",Journal article,https://doi.org/10.1080/02684529008432036,,https://www.zotero.org/groups/intelligence_bibliography/items/9ESAMBW7,1990-01-01,Christina Goulter,,Intelligence and National Security,2024-01-26T23:33:00Z,['SCCGXHMZ']
55,"Intelligence and security in Ireland, 1922–45",Journal article,https://doi.org/10.1080/02684529008432035,,https://www.zotero.org/groups/intelligence_bibliography/items/7TBJUHGG,1990-01-01,Eunan O'Halpin,,Intelligence and National Security,2024-01-26T23:32:37Z,"['MP7FJ9UA', 'SCCGXHMZ']"
56,"Soviet operational intelligence in the Kursk operation, July 1943",Journal article,https://doi.org/10.1080/02684529008432034,,https://www.zotero.org/groups/intelligence_bibliography/items/P8ILEV6P,1990-01-01,David M. Glantz,,Intelligence and National Security,2024-01-26T23:32:17Z,"['SCCGXHMZ', 'AZ3BZ9BR']"
57,The middle east intelligence centre,Journal article,https://doi.org/10.1080/02684528908432027,,https://www.zotero.org/groups/intelligence_bibliography/items/I3QV5BB7,1989-10-01,H. O. Dovey,,Intelligence and National Security,2024-01-26T23:23:38Z,['AZ3BZ9BR']
58,Intelligence and the assessment of military capabilities: Reasonable sufficiency or the worst case?,Journal article,https://doi.org/10.1080/02684528908432026,,https://www.zotero.org/groups/intelligence_bibliography/items/3L94R9CJ,1989-10-01,Michael Herman,,Intelligence and National Security,2024-01-26T23:23:09Z,['CZJ36V8L']
59,"Threat assessment in military intelligence: The case of Israel and Syria, 1985–86",Journal article,https://doi.org/10.1080/02684528908432025,,https://www.zotero.org/groups/intelligence_bibliography/items/YB4DUTWI,1989-10-01,Raymond Cohen,,Intelligence and National Security,2024-01-26T23:22:43Z,"['DHLN8GE4', 'AZ3BZ9BR']"
60,Philosophy and methodology of intelligence: The logic of estimate process,Journal article,https://doi.org/10.1080/02684528908432023,,https://www.zotero.org/groups/intelligence_bibliography/items/R9AX9ZAM,1989-10-01,Isaac Ben‐Israel,,Intelligence and National Security,2024-01-26T23:21:54Z,['DHLN8GE4']
61,Soviet signals intelligence (Sigint): Organization and management,Journal article,https://doi.org/10.1080/02684528908432022,,https://www.zotero.org/groups/intelligence_bibliography/items/Y4LWVBR2,1989-10-01,"Desmond Ball, Robert Windrem",,Intelligence and National Security,2024-01-26T23:21:06Z,"['T92JK7A5', 'AZ3BZ9BR']"
62,"The other collusion: Operation straggle and Anglo‐American intervention in Syria, 1955–56",Journal article,https://doi.org/10.1080/02684528908432017,,https://www.zotero.org/groups/intelligence_bibliography/items/SDM532HX,1989-07-01,"Anthony Gorst, W. Scott Lucas",,Intelligence and National Security,2024-01-26T23:20:26Z,['CZT6L9T7']
63,"Symbolic or real? The impact of the Canadian security intelligence review committee, 1984–88",Journal article,https://doi.org/10.1080/02684528908432016,,https://www.zotero.org/groups/intelligence_bibliography/items/M4WSGSN7,1989-07-01,Peter Gill,,Intelligence and National Security,2024-01-26T23:19:56Z,['AZ3BZ9BR']
64,An intelligence surprise: The failure of the foreign office to anticipate the Nazi‐Soviet pact,Journal article,https://doi.org/10.1080/02684528908432014,,https://www.zotero.org/groups/intelligence_bibliography/items/6ZETKIYM,1989-07-01,D. Cameron Watt,,Intelligence and National Security,2024-01-26T23:07:28Z,"['SCCGXHMZ', '9YPHGMBS']"
65,The Soviets and naval enigma: Some comments,Journal article,https://doi.org/10.1080/02684528908432013,,https://www.zotero.org/groups/intelligence_bibliography/items/DGYSSEFP,1989-07-01,Ralph Erskine,,Intelligence and National Security,2024-01-26T23:07:11Z,['SCCGXHMZ']
66,"Fortitude, ultra and the ‘need to know’",Journal article,https://doi.org/10.1080/02684528908432012,,https://www.zotero.org/groups/intelligence_bibliography/items/W2832BKE,1989-07-01,Ralph Bennett,,Intelligence and National Security,2024-01-26T23:06:38Z,"['T92JK7A5', 'RHJFPRAI', 'SCCGXHMZ']"
67,Significance of MAGIC and the Japanese ambassador to Berlin: (V) news of Hitler's defense preparations for Allied invasion of Western Europe,Journal article,https://doi.org/10.1080/02684528908432011,,https://www.zotero.org/groups/intelligence_bibliography/items/B5F4V2SP,1989-07-01,Carl Boyd,,Intelligence and National Security,2024-01-26T23:03:27Z,"['T92JK7A5', 'SCCGXHMZ']"
68,Pearl harbor: The Anglo‐Australian dimension,Journal article,https://doi.org/10.1080/02684528908432010,,https://www.zotero.org/groups/intelligence_bibliography/items/ZHSVVBER,1989-07-01,John W.M. Chapman,,Intelligence and National Security,2024-01-26T23:02:48Z,['SCCGXHMZ']
69,"From Broadway house to Bletchley park: The diary of Captain Malcolm. D. Kennedy, 1934–1946",Journal article,https://doi.org/10.1080/02684528908432009,,https://www.zotero.org/groups/intelligence_bibliography/items/YQM56UBC,1989-07-01,John Ferris,,Intelligence and National Security,2024-01-26T22:19:41Z,"['T92JK7A5', 'MP7FJ9UA', 'SCCGXHMZ']"
70,More on the soviets and ultra,Journal article,https://doi.org/10.1080/02684528908432003,,https://www.zotero.org/groups/intelligence_bibliography/items/4IUG2ILE,1989-04-01,Geoff Jukes,,Intelligence and National Security,2024-01-26T22:19:03Z,"['T92JK7A5', 'SCCGXHMZ']"
71,Operation condor,Journal article,https://doi.org/10.1080/02684528908432002,,https://www.zotero.org/groups/intelligence_bibliography/items/G3B4F99M,1989-04-01,H.O. Dovey,,Intelligence and National Security,2024-01-26T22:18:49Z,['SCCGXHMZ']
72,"‘Spare no expense:’ The department of state and the search for information about Bolshevik Russia, November 1917‐September 1918",Journal article,https://doi.org/10.1080/02684528908432000,,https://www.zotero.org/groups/intelligence_bibliography/items/9L2YLXUB,1989-04-01,David A. Langbart,,Intelligence and National Security,2024-01-26T21:47:46Z,['BNPYHVD4']
73,Deception plan Graffham and Sweden another view,Journal article,https://doi.org/10.1080/02684528908431999,,https://www.zotero.org/groups/intelligence_bibliography/items/U2B2PMUU,1989-04-01,Leif Leifland,,Intelligence and National Security,2024-01-26T21:47:00Z,['SCCGXHMZ']
74,The Krämer case: A study in three dimensions,Journal article,https://doi.org/10.1080/02684528908431998,,https://www.zotero.org/groups/intelligence_bibliography/items/KI99DSV3,1989-04-01,C.G. McKay,,Intelligence and National Security,2024-01-26T21:46:37Z,['SCCGXHMZ']
75,"The ethnic ‘agent in place’: English‐speaking civil servants and nationalist South Africa, 1948–57",Journal article,https://doi.org/10.1080/02684528908431997,,https://www.zotero.org/groups/intelligence_bibliography/items/EV2IZM6G,1989-04-01,G.R. Berridge,,Intelligence and National Security,2024-01-26T21:46:08Z,['CZT6L9T7']
76,Soviet strategic culture ‐the missing dimension,Journal article,https://doi.org/10.1080/02684528908431992,,https://www.zotero.org/groups/intelligence_bibliography/items/D7KBPY6A,1989-01-01,David T. Twining,,Intelligence and National Security,2024-01-26T21:38:44Z,['NWAKWPT7']
77,The role of target acquisition in combat intelligence past and future,Journal article,https://doi.org/10.1080/02684528908431987,,https://www.zotero.org/groups/intelligence_bibliography/items/BDYDN5BJ,1989-01-01,Z. Bonen,,Intelligence and National Security,2024-01-26T21:37:42Z,['7R9UG9WU']
78,Significance of magic and the Japanese ambassador to Berlin: (IV) confirming the turn of the tide on the German‐Soviet front,Journal article,https://doi.org/10.1080/02684528908431985,,https://www.zotero.org/groups/intelligence_bibliography/items/9B9QJPAN,1989-01-01,Carl Boyd,,Intelligence and National Security,2024-01-26T21:36:27Z,"['T92JK7A5', 'SCCGXHMZ']"
79,The secret police in nineteenth‐century Brussels,Journal article,https://doi.org/10.1080/02684528908431984,,https://www.zotero.org/groups/intelligence_bibliography/items/LQWT689F,1989-01-01,Luc Keunings,,Intelligence and National Security,2024-01-26T21:35:00Z,"['9DTPTK46', 'AZ3BZ9BR']"
80,Soviet signals intelligence: Vehicular systems and operations,Journal article,https://doi.org/10.1080/02684528908431982,,https://www.zotero.org/groups/intelligence_bibliography/items/GM5S8P79,1989-01-01,Desmond Ball,,Intelligence and National Security,2024-01-26T21:34:00Z,"['T92JK7A5', 'AZ3BZ9BR']"
81,Methodological magic,Journal article,https://doi.org/10.1080/02684528808431976,,https://www.zotero.org/groups/intelligence_bibliography/items/SFNPCCKV,1988-10-01,Uri Bar‐Joseph,,Intelligence and National Security,2024-01-26T21:33:28Z,['9YPHGMBS']
82,"‘Quelqu'un nous écoute’: French interception of German telegraphic and telephonic communications during the Paris peace conference, 1919: A note",Journal article,https://doi.org/10.1080/02684528808431974,,https://www.zotero.org/groups/intelligence_bibliography/items/VMJGJPYS,1988-10-01,Alan Sharp,,Intelligence and National Security,2024-01-26T21:32:49Z,['MP7FJ9UA']
83,An idiosyncratic view of where we stand on the history of American intelligence in the early post‐1945 era,Journal article,https://doi.org/10.1080/02684528808431973,,https://www.zotero.org/groups/intelligence_bibliography/items/5QYBGU95,1988-10-01,Bradley F. Smith,,Intelligence and National Security,2024-01-26T21:32:32Z,['CZT6L9T7']
84,British Signals Intelligence after the Second World War,Journal article,https://doi.org/10.1080/02684528808431972,,https://www.zotero.org/groups/intelligence_bibliography/items/S9WH2KQX,1988-10-01,Andy Thomas,,Intelligence and National Security,2024-01-26T21:32:03Z,"['T92JK7A5', 'SCCGXHMZ']"
85,Significance of MAGIC and the Japanese ambassador to Berlin: (III) the months of growing certainty,Journal article,https://doi.org/10.1080/02684528808431971,,https://www.zotero.org/groups/intelligence_bibliography/items/ZXTV9PWM,1988-10-01,Carl Boyd,,Intelligence and National Security,2024-01-26T21:31:43Z,"['T92JK7A5', 'SCCGXHMZ']"
86,Francis Herbert king: A Soviet source in the foreign office,Journal article,https://doi.org/10.1080/02684528808431970,,https://www.zotero.org/groups/intelligence_bibliography/items/W4KG94ZU,1988-10-01,D. Cameron Watt,,Intelligence and National Security,2024-01-26T21:31:14Z,['CZT6L9T7']
87,Commanding generals and the uses of intelligence,Journal article,https://doi.org/10.1080/02684528808431962,,https://www.zotero.org/groups/intelligence_bibliography/items/28KI27QY,1988-07-01,Harold C. Deutsch,,Intelligence and National Security,2024-01-26T21:27:05Z,['SCCGXHMZ']
88,Westmoreland vs. CBS: Was intelligence corrupted by policy demands?,Journal article,https://doi.org/10.1080/02684528808431960,,https://www.zotero.org/groups/intelligence_bibliography/items/UXI87YCP,1988-07-01,T. L. Cubbage II,,Intelligence and National Security,2024-01-26T21:24:17Z,['BHVIFBRH']
89,The paradox of duality: Adolf Hitler and the concept of military surprise,Journal article,https://doi.org/10.1080/02684528808431959,,https://www.zotero.org/groups/intelligence_bibliography/items/JHFU2HAV,1988-07-01,David Jablonsky,,Intelligence and National Security,2024-01-26T21:20:42Z,"['D7XFV7JL', 'SCCGXHMZ']"
