,Title,Publication type,Link to publication,Abstract,Zotero link,Date published,FirstName2,Publisher,Journal,Date added,Col key,DOI,Book_title,Thesis_type,University,Collection_Key,Collection_Name,Collection_Link,ID,Citation,OA status,Citation_list,First_citation_year,Last_citation_year,Publication_year,OA_link,Year_difference
10,Intelligence and Russia’s War in Ukraine,Book chapter,https://doi.org/10.1093/9780198970903.003.0010,"This chapter examines four important challenges and developments in wartime intelligence that have been actualized during the war. First, the apparent limitations of forecasting and prediction, illustrated by the difficulty of gauging adversarial intent and military capacity, which in turn gave rise to a false perception that the war would conclude with a quick Russian victory. Second, the utilization of declassified strategic warning intelligence for strategic communication represented a proactive adaptation to the contemporary information environment. Third, the war accelerated intelligence sharing between the United States (US) and allies, and Ukraine. Fourth, the war has seen a rapid technological evolution in intelligence. Commercial tech companies have flocked to Ukraine, eager to test and develop their products in authentic conditions, while Ukraine has striven to build its own defence tech sector.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/ATJBLRPA,2026-08-20,Niklas Nilsson,Oxford University Press,,2026-07-21T20:46:41Z,['Y959U28A'],10.1093/9780198970903.003.0010,"Russia's War in Ukraine and Modern Warfare: Strategy, Tactics, and Technology",Unclassified,,Y959U28A,98.2 War in Ukraine,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/Y959U28A,https://openalex.org/W7169758634,0.0,False,,,,2026.0,,
11,Australia should welcome Japan’s intelligence restructure,Blog post,https://www.aspistrategist.org.au/australia-should-welcome-japans-intelligence-restructure/,The restructuring of Japan’s intelligence capability around new central agencies will support deeper cooperation with Australia. This sentiment was outlined in a joint statement during Japanese Prime Minister Sanae Takaichi’s visit to Australia in May. ...,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/NQRSVS9N,2026-07-16T20:00:58+00:00,Takahiko Kei,,,2026-07-19T19:38:00Z,['AZ3BZ9BR'],,,Unclassified,,AZ3BZ9BR,14 Global intelligence,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/AZ3BZ9BR,,,,,,,,,
12,"'G-Man Marcuse': Herbert Marcuse?s Hidden Years in U.S. Wartime Intelligence as the Groundwork for Postwar Critical Theory, 1942-1951",Thesis,https://philpapers.org/rec/CANGMH,,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/M5JV8SWY,2026,M. Candelaria,,,2026-07-19T19:36:27Z,['SCCGXHMZ'],,,PhD Thesis,University of Florida,SCCGXHMZ,01.6 WW2 (Second World War),https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/SCCGXHMZ,,,,,,,,,
13,Cyber Open Source Intelligence in Counter-Terrorism: A Systematic Literature Review and Indonesian Case Study Analysis,Journal article,https://sitjournal.com/sitj/article/view/100,"The burden on Indonesia’s counterterrorism (CT) services has increased due to terrorist groups’ exploitation of the internet. Between 2023 and 2025, the National Counter-Terrorism Agency (BNPT) recorded 137 actors who were actively abusing the internet for terrorism; in 2025 alone, 21,199 radical content pieces were reported on key platforms. In this setting, open source intelligence (OSINT), or intelligence drawn from publicly accessible material, has become a crucial strategic weapon; nevertheless, Indonesian scholarship is still dispersed and policy-disconnected. In accordance with PRISMA 2020 principles, a systematic literature review (SLR) of 47 peer-reviewed papers (2014–2025) is presented in this work together with a case study analysis of the 2018 Surabaya bombings and the 2024 disintegration of Jemaah Islamiyah (JI). The research reveals six theme clusters: the growth of OSINT, cyber tools and AI integration, terrorist cyberspace exploitation, OSINT applications in CT, ethical-legal frameworks, and the Indonesian institutional environment. As a result of inter-agency fragmentation across Densus 88, BNPT, BSSN, and BIN, the case studies show that pre-attack OSINT signals in 2018 were observable but not put together into actionable intelligence. The study makes the case that Indonesia needs a federated OSINT doctrine that is in line with Law No. 5/2018 and the Personal Data Protection Law (UU PDP 27/2022). It also suggests a five-part policy framework based on securitization theory, intelligence cycle theory, and second-generation OSINT.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/XKA2AGX7,2026-06-30,"Rizal Amrullah, Vedaniar Zahra Danardini Mulia",,Security Intelligence Terrorism Journal (SITJ),2026-07-18T10:15:54Z,"['8XXD789V', 'LXMU5UXP']",10.70710/sitj.v3i2.100,,Unclassified,,8XXD789V,10 Intelligence and cybersphere,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/8XXD789V,https://openalex.org/W7167343303,0.0,True,,,,2026.0,https://sitjournal.com/sitj/article/download/100/79,
14,Cyber Open Source Intelligence in Counter-Terrorism: A Systematic Literature Review and Indonesian Case Study Analysis,Journal article,https://sitjournal.com/sitj/article/view/100,"The burden on Indonesia’s counterterrorism (CT) services has increased due to terrorist groups’ exploitation of the internet. Between 2023 and 2025, the National Counter-Terrorism Agency (BNPT) recorded 137 actors who were actively abusing the internet for terrorism; in 2025 alone, 21,199 radical content pieces were reported on key platforms. In this setting, open source intelligence (OSINT), or intelligence drawn from publicly accessible material, has become a crucial strategic weapon; nevertheless, Indonesian scholarship is still dispersed and policy-disconnected. In accordance with PRISMA 2020 principles, a systematic literature review (SLR) of 47 peer-reviewed papers (2014–2025) is presented in this work together with a case study analysis of the 2018 Surabaya bombings and the 2024 disintegration of Jemaah Islamiyah (JI). The research reveals six theme clusters: the growth of OSINT, cyber tools and AI integration, terrorist cyberspace exploitation, OSINT applications in CT, ethical-legal frameworks, and the Indonesian institutional environment. As a result of inter-agency fragmentation across Densus 88, BNPT, BSSN, and BIN, the case studies show that pre-attack OSINT signals in 2018 were observable but not put together into actionable intelligence. The study makes the case that Indonesia needs a federated OSINT doctrine that is in line with Law No. 5/2018 and the Personal Data Protection Law (UU PDP 27/2022). It also suggests a five-part policy framework based on securitization theory, intelligence cycle theory, and second-generation OSINT.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/XKA2AGX7,2026-06-30,"Rizal Amrullah, Vedaniar Zahra Danardini Mulia",,Security Intelligence Terrorism Journal (SITJ),2026-07-18T10:15:54Z,"['8XXD789V', 'LXMU5UXP']",10.70710/sitj.v3i2.100,,Unclassified,,LXMU5UXP,07.4 OSINT - SOCMINT,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/LXMU5UXP,https://openalex.org/W7167343303,0.0,True,,,,2026.0,https://sitjournal.com/sitj/article/download/100/79,
15,Inside China's Cyber Espionage Business,Podcast,https://thecyberwire.com/podcasts/spycast/741/notes,"Ahana Datta Fasel became the British government’s first ethical hacker in 2014, testing vulnerabilities in computer systems and networks that hackers could potentially exploit. She was only 23, but that gave her an early look at state-sponsored cyber intrusions, which have of course grown more serious and sophisticated. Today, her book “Full Stack Spies: Cyber Espionage in the Age of US–China Competition” explores China’s business of spying online. She joins Sasha from London to talk about the competition, vanities, and betrayals between hackers, tech companies, and the government, all through some of Beijing’s most destructive military and civilian cyber operations.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/EPQ3VHWW,2026-07-14,Ahana D. Fasel,,,2026-07-16T08:02:47Z,['AZ3BZ9BR'],,,Unclassified,,AZ3BZ9BR,14 Global intelligence,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/AZ3BZ9BR,,,,,,,,,
16,Fallout: Exposing an Atomic Spy,Book,https://www.pen-and-sword.co.uk/Fallout-Exposing-an-Atomic-Spy-Hardback/p/57071,"Shortly after the end of the Second World War, on 5 September 1945, an event occurred which would allegedly mark the beginning of the Cold War. A young cipher clerk working for the GRU, Soviet military intelligence, defected to the West, bringing with him a raft of documents and exposing a large spy network on both sides of the Atlantic. At first, the Canadian Prime Minister, Mackenzie King, was loathe to react, fearing that any action taken by his government might spark a Third World War with the Soviets.

Igor Gouzenko revealed that a British nuclear physicist, Alan Nunn May, who had worked on the Tube Alloys/Manhattan Project, was part of that spy network and had passed on secrets about the atomic bomb to the Russians. It would cause a rift in US-British relations and lead to the so-called ‘McMahon Act’ whereby Britain, and therefore Canada, were excluded from further collaboration in developing atomic research. It also led to a Canadian Royal Commission to investigate the extent to which spies had penetrated the Canadian government and what information they had passed on.

Gouzenko and his family lived under witness protection in fear of assassination from the KGB, while Alan Nunn May, on his return to the UK, was tried and convicted of espionage. When he was released from prison in 1952, he had problems finding employment. When he died, he still firmly believed that what he had done had been justified.

This book examines the ‘Gouzenko Affair’ and corrects some of the myths surrounding his story. It also considers the case against Nunn May, his associates, and his life as a convicted but unapologetic spy.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/9FJT9JML,2026-02-09,David Tremain,Pen and Sword,,2026-07-16T08:01:33Z,['CZT6L9T7'],,,Unclassified,,CZT6L9T7,01.7 Cold War,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/CZT6L9T7,,,,,,,,,
17,Appendix 2: Espionage in West Berlin: A Brief Review,Book chapter,https://www.degruyterbrill.com/document/doi/10.1515/9780691290966-019/html?lang=en,Appendix 2: Espionage in West Berlin: A Brief Review was published in Cold War City on page 497.,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/VXFNE6VA,2026-09-22,David E. Barclay,Princeton University Press,,2026-07-16T08:00:10Z,['CZT6L9T7'],,Cold War City,Unclassified,,CZT6L9T7,01.7 Cold War,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/CZT6L9T7,,,,,,,,,
18,Postcolonial legacies: examining the effects on surveillance practices and oversight in Angola and Botswana,Journal article,https://doi.org/10.1080/02589001.2026.2681877,"This article explores the influence of postcolonial legacies on intelligence and surveillance systems in Angola and Botswana, two nations with distinct historical trajectories following independence. Angola, a nation scarred by a protracted liberation war and subsequent civil conflict following its attainment of independence in 1975, has witnessed the establishment of a centralised surveillance apparatus that played a pivotal role in its wartime strategy and the maintenance of political control. Botswana, which transitioned peacefully to independence in 1966, established a centralised intelligence framework in a similar manner. Despite their divergent paths, both states exhibit highly centralised surveillance practices shaped by their postcolonial experiences. The primary function of these practices is the preservation of the ruling elite’s interests rather than adaptive security measures. This study critically examines the historical, political, and institutional factors contributing to these developments, highlighting the enduring impact of postcolonial governance on contemporary surveillance oversight. This study employs historical analysis to explore the influence of colonial legacies on modern intelligence and surveillance systems in Angola and Botswana. It employs postcolonial security studies to comprehend surveillance within the context of postcolonial governance.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/AJUFQT3R,2026-07-12,"Tachilisa Badala Balule, Rui Verde",Routledge,Journal of Contemporary African Studies,2026-07-16T07:59:30Z,['28B8SB3Y'],10.1080/02589001.2026.2681877,,Unclassified,,28B8SB3Y,98.7 Surveillance,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/28B8SB3Y,https://openalex.org/W7168097632,0.0,True,,,,2026.0,https://www.tandfonline.com/doi/pdf/10.1080/02589001.2026.2681877?needAccess=true,
19,MILITARY COUNTERINTELLIGENCE. IT`S ROLE AND IMPORTANCE,Journal article,"https://www.afahc.ro/AFASESNEW/2026/Volume%202026/31-T.TANASE,T.OSTAHIE.pdf","Counterintelligence and military security represent the main national effort to counter the actions of foreign intelligence services, of groups and political movements controlled from abroad, which are often supported by intelligence services, starting from infiltrating the synapses of strategic and operational leadership of the state and establishing the potential for engagement in espionage activities for the purpose of organizing subversive or sabotage actions. The first institutionalized information-counter-information structures were those of the army and not of other sister structures, which claim origins inconsistent with historical reality. These Romanian information structures appeared with the organization of the army, after the Union of the Romanian Principalities. The birth act of these military intelligence institutions was the date of November 12/24, 1859, when Prince Alexandru Ioan Cuza, through the High Order of the Day, no. 83, established the first staff structure in the modern military history of Romania, the General Staff Corps of the Army, which also included Section II, the first intelligence structure of the Romanian army, led by Second Lieutenant George Slăniceanu, assisted by Second Lieutenant Ștefan Fălcoianu.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/6M9YCWJ6,2026-07-13,"Tiberiu Tanase, Traian Ostahie",,SCIENTIFIC RESEARCH AND EDUCATION IN THE AIR FORCE,2026-07-16T07:58:32Z,['RHJFPRAI'],10.19062/2247-3173.2026.27.31,,Unclassified,,RHJFPRAI,08 Counterintelligence,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/RHJFPRAI,https://openalex.org/W7168164079,0.0,True,,,,2026.0,https://doi.org/10.19062/2247-3173.2026.27.31,
20,The CIA Book Club: The Best-Kept Secret of the Cold War,Book,https://harpercollins.co.uk/products/the-cia-book-club-the-best-kept-secret-of-the-cold-war-charlie-english,"For almost five decades after the Second World War, Europe was divided by the longest and most heavily guarded border on earth. The Iron Curtain, a near-impenetrable barrier of wire and wall, tank traps, minefields, watchtowers and men with dogs, stretched for 4,300 miles from the Arctic to the Black Sea. No physical combat would take place along this frontier: the risk of nuclear annihilation was too high for that. Instead, the conflict would be fought in the psychological sphere. It was a battle for hearts, minds and intellects.

No one understood this more clearly than George Minden, the head of a covert intelligence operation known as the ‘CIA books programme’, which aimed to win the Cold War with literature.

From its Manhattan headquarters, Minden’s global CIA ‘book club’ would infiltrate millions of banned titles into the Eastern Bloc, written by a vast and eclectic list of authors, including Hannah Arendt and Aleksandr Solzhenitsyn, George Orwell and Agatha Christie. Volumes were smuggled on trucks and aboard yachts, dropped from balloons, and hidden in the luggage of hundreds of thousands of individual travellers. Once inside Soviet bloc, each book would circulate secretly among dozens of like-minded readers, quietly turning them into dissidents. Latterly, underground print shops began to reproduce the books, too. By the late 1980s, illicit literature in Poland was so pervasive that the system of communist censorship broke down, and the Iron Curtain soon followed.

Charlie English tells this true story of spycraft, smuggling and secret printing operations for the first time, highlighting the work of a handful of extraordinary people who risked their lives to stand up to the intellectual strait-jacket Stalin created. People like Miroslaw Chojecki, an underground Polish publisher who endured beatings, force-feeding and exile in service of this mission. And Minden, the CIA’s mastermind, who didn’t waver in his belief that truth, culture, and diversity of thought could help free the ‘captive nations’ of Eastern Europe. This is a story about the power of the printed word as a means of resistance and liberation. Books, it shows, can set you free.",https://www.zotero.org/groups/intelarchive_intelligence_studies_database/items/VSGBHM3Q,2025-03-13,Charlie English,Harper Collins Publishers,,2026-04-18T13:54:23Z,"['CK5MNYPQ', 'CZT6L9T7']",,,Unclassified,,CK5MNYPQ,04 Intelligence organisations,https://www.zotero.org/groups/intelarchive_intelligence_studies_database/collections/CK5MNYPQ,,,,,,,,,
